time err max
82.992 0.135854 67.092
83.3712 0.133545 76.8508
83.7483 0.134229 73.8012
84.1286 0.1312 63.4324
84.508 0.131462 78.0706
84.8852 0.131394 69.5317
85.246 0.132075 76.8508
85.6246 0.133046 72.5813
85.9858 0.135118 64.0423
86.3471 0.133538 75.6309
86.7071 0.132019 73.8012
87.0694 0.132006 70.1416
87.4314 0.130645 60.3828
87.794 0.13073 67.092
88.172 0.134616 70.1416
88.55 0.133546 74.4111
88.9267 0.133569 82.9501
89.3045 0.133208 72.5813
89.6836 0.131954 76.8508
90.0428 0.135263 73.8012
90.4214 0.134944 74.4111
90.7811 0.13237 65.2622
91.651 0.133537 67.7019
92.5296 0.134296 73.8012
93.0722 0.132049 70.7515
93.4449 0.131626 81.7302
93.8478 0.129402 85.3898
94.2322 0.134868 79.2905
94.6145 0.134141 67.092
94.9816 0.132964 68.9217
95.3595 0.13601 74.4111
95.7237 0.132893 75.021
96.1165 0.132955 83.56
96.5666 0.134029 80.5104
96.9506 0.133556 71.3614
97.3344 0.133759 67.7019
97.719 0.131352 79.2905
98.0902 0.131692 76.2409
98.4727 0.131156 73.1912
98.8554 0.131408 79.2905
99.2281 0.131824 78.0706
99.6069 0.131777 70.7515
99.9879 0.135278 67.092
100.364 0.133206 71.3614
100.747 0.132886 81.1203
101.121 0.134591 77.4607
101.51 0.134441 81.1203
101.939 0.132876 78.0706
102.325 0.130089 71.3614
102.848 0.135613 56.7232
103.232 0.135319 61.6026
103.711 0.133054 71.9714
104.315 0.132342 84.1699
104.708 0.132373 76.8508
105.093 0.131818 71.9714
105.468 0.132209 85.3898
105.838 0.131776 74.4111
106.222 0.12989 69.5317
106.593 0.129308 70.7515
106.978 0.1312 67.7019
107.362 0.130234 65.2622
107.738 0.131014 73.8012
108.37 0.130782 75.021
108.911 0.133857 78.0706
109.298 0.133211 68.3118
109.683 0.132617 65.8721
110.126 0.132089 59.7728
110.682 0.133362 66.482
111.15 0.132337 63.4324
111.572 0.132543 62.2125
111.998 0.12979 78.6806
112.404 0.132649 73.8012
112.793 0.133529 79.9004
113.178 0.132574 68.3118
113.548 0.133359 80.5104
113.963 0.133763 67.092
114.378 0.133602 74.4111
114.762 0.133889 71.9714
115.163 0.131763 71.9714
115.565 0.132512 72.5813
115.947 0.130448 73.8012
116.523 0.130082 81.1203
116.911 0.130272 74.4111
117.301 0.130659 65.2622
117.685 0.129273 68.9217
118.064 0.131949 75.021
118.423 0.132797 66.482
118.794 0.135025 73.1912
119.299 0.133907 68.9217
119.909 0.134042 85.9997
120.297 0.133651 67.092
120.673 0.130825 69.5317
121.182 0.135775 81.1203
122.008 0.133823 70.7515
122.68 0.132048 72.5813
123.405 0.130946 70.7515
124.147 0.132287 89.0493
124.761 0.133783 80.5104
125.421 0.131603 62.8225
126.022 0.130747 78.6806
126.411 0.129835 79.9004
126.799 0.13062 73.1912
127.206 0.132338 75.021
127.594 0.134067 67.7019
127.982 0.132504 73.8012
128.388 0.132149 70.1416
128.764 0.132883 71.9714
129.15 0.134065 84.7798
129.586 0.13344 79.2905
129.966 0.132061 85.9997
130.328 0.132822 82.9501
130.688 0.131989 81.7302
131.051 0.133632 78.0706
131.432 0.132095 77.4607
131.813 0.130943 72.5813
132.174 0.132462 81.1203
132.556 0.131615 71.9714
132.918 0.133812 74.4111
133.284 0.133246 82.9501
133.716 0.131889 85.3898
134.078 0.130442 73.8012
